,model,variables,layer,accuracy
0,270,"[0, 1, 2]",conv1,0.9380000233650208
1,270,"[0, 1, 2]",conv2,0.9269999861717224
2,270,"[0, 1, 2]",conv3,0.9490000009536743
3,270,"[0, 1, 2]",fc1,0.5600000023841858
4,270,"[0, 1]",conv1,0.9139999747276306
5,270,"[0, 1]",conv2,0.9079999923706055
6,270,"[0, 1]",conv3,0.8859999775886536
7,270,"[0, 1]",fc1,0.777999997138977
8,270,"[0, 2]",conv1,0.9350000023841858
9,270,"[0, 2]",conv2,0.9309999942779541
10,270,"[0, 2]",conv3,0.9120000004768372
11,270,"[0, 2]",fc1,0.7910000085830688
12,270,"[1, 2]",conv1,0.9089999794960022
13,270,"[1, 2]",conv2,0.902999997138977
14,270,"[1, 2]",conv3,0.8700000047683716
15,270,"[1, 2]",fc1,0.7459999918937683
16,270,[0],conv1,0.9169999957084656
17,270,[0],conv2,0.9100000262260437
18,270,[0],conv3,0.8730000257492065
19,270,[0],fc1,0.718999981880188
20,270,[1],conv1,0.9539999961853027
21,270,[1],conv2,0.9660000205039978
22,270,[1],conv3,0.9399999976158142
23,270,[1],fc1,0.7630000114440918
24,270,[2],conv1,0.9300000071525574
25,270,[2],conv2,0.9330000281333923
26,270,[2],conv3,0.8690000176429749
27,270,[2],fc1,0.699999988079071
28,271,"[0, 1, 2]",conv1,0.9440000057220459
29,271,"[0, 1, 2]",conv2,0.9570000171661377
30,271,"[0, 1, 2]",conv3,0.9539999961853027
31,271,"[0, 1, 2]",fc1,0.5550000071525574
32,271,"[0, 1]",conv1,0.8899999856948853
33,271,"[0, 1]",conv2,0.9419999718666077
34,271,"[0, 1]",conv3,0.9020000100135803
35,271,"[0, 1]",fc1,0.7379999756813049
36,271,"[0, 2]",conv1,0.9399999976158142
37,271,"[0, 2]",conv2,0.9480000138282776
38,271,"[0, 2]",conv3,0.9190000295639038
39,271,"[0, 2]",fc1,0.6069999933242798
40,271,"[1, 2]",conv1,0.9200000166893005
41,271,"[1, 2]",conv2,0.9350000023841858
42,271,"[1, 2]",conv3,0.9089999794960022
43,271,"[1, 2]",fc1,0.6819999814033508
44,271,[0],conv1,0.9279999732971191
45,271,[0],conv2,0.9229999780654907
46,271,[0],conv3,0.9200000166893005
47,271,[0],fc1,0.8309999704360962
48,271,[1],conv1,0.9580000042915344
49,271,[1],conv2,0.9769999980926514
50,271,[1],conv3,0.9480000138282776
51,271,[1],fc1,0.7639999985694885
52,271,[2],conv1,0.921999990940094
53,271,[2],conv2,0.9350000023841858
54,271,[2],conv3,0.8970000147819519
55,271,[2],fc1,0.7110000252723694
56,272,"[0, 1, 2]",conv1,0.9449999928474426
57,272,"[0, 1, 2]",conv2,0.9229999780654907
58,272,"[0, 1, 2]",conv3,0.925000011920929
59,272,"[0, 1, 2]",fc1,0.8889999985694885
60,272,"[0, 1]",conv1,0.9210000038146973
61,272,"[0, 1]",conv2,0.9200000166893005
62,272,"[0, 1]",conv3,0.9139999747276306
63,272,"[0, 1]",fc1,0.7929999828338623
64,272,"[0, 2]",conv1,0.9390000104904175
65,272,"[0, 2]",conv2,0.9279999732971191
66,272,"[0, 2]",conv3,0.9179999828338623
67,272,"[0, 2]",fc1,0.7319999933242798
68,272,"[1, 2]",conv1,0.9259999990463257
69,272,"[1, 2]",conv2,0.9309999942779541
70,272,"[1, 2]",conv3,0.8830000162124634
71,272,"[1, 2]",fc1,0.7279999852180481
72,272,[0],conv1,0.878000020980835
73,272,[0],conv2,0.8999999761581421
