training objective,layer,variables localized,interchange intervention accuracy
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.944000005722046
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9409999847412108
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9470000267028807
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.4950000047683716
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.906000018119812
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.8949999809265137
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8840000033378601
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7649999856948853
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9190000295639038
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9259999990463256
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9039999842643738
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7049999833106995
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9300000071525574
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8949999809265137
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8759999871253967
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7419999837875366
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9120000004768372
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9079999923706056
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8849999904632568
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7300000190734863
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9539999961853028
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.959999978542328
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9470000267028807
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7419999837875366
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.930999994277954
