training objective,layer,variables localized,accuracy,model index,size
"Equal (0.4, 0.4, 0.4)",conv1,,0.944000005722046,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9409999847412108,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9470000267028807,0,4
"Equal (0.4, 0.4, 0.4)",,,0.4950000047683716,0,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.906000018119812,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8949999809265137,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8840000033378601,0,4
"Equal (0.4, 0.4, 0.4)",,,0.7649999856948853,0,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9190000295639038,0,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9259999990463256,0,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.9039999842643738,0,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7049999833106995,0,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9300000071525574,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8949999809265137,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8759999871253967,0,4
"Equal (0.4, 0.4, 0.4)",,,0.7419999837875366,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.9120000004768372,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.9079999923706056,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8849999904632568,0,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7300000190734863,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9539999961853028,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.959999978542328,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9470000267028807,0,4
"Equal (0.4, 0.4, 0.4)",,Color,0.7419999837875366,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.930999994277954,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9259999990463256,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8830000162124634,0,4
"Equal (0.4, 0.4, 0.4)",,Area,0.6940000057220459,0,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9340000152587892,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9419999718666076,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9490000009536744,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.4880000054836273,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.8880000114440918,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9390000104904176,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.912999987602234,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7070000171661377,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9330000281333924,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.944000005722046,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.921999990940094,1,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.609000027179718,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9190000295639038,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9139999747276306,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9179999828338624,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.5659999847412109,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.921999990940094,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9210000038146972,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9160000085830688,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.8270000219345093,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9679999947547911,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9710000157356262,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9559999704360962,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.7310000061988831,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9350000023841858,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9319999814033508,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.9039999842643738,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6710000038146973,1,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9430000185966492,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9300000071525574,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9210000038146972,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.5839999914169312,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.915000021457672,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9079999923706056,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9049999713897704,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.8059999942779541,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9430000185966492,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.8920000195503235,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9279999732971193,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.6119999885559082,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9210000038146972,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9070000052452089,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8870000243186951,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6899999976158142,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.9049999713897704,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.878000020980835,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8769999742507935,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.7350000143051147,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.968999981880188,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.949999988079071,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9269999861717224,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.753000020980835,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9419999718666076,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9409999847412108,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9380000233650208,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.8040000200271606,2,4
