,model,variables,layer,accuracy
0,30,"[0, 1, 2]",conv1,0.9430000185966492
1,30,"[0, 1, 2]",conv2,0.9520000219345093
2,30,"[0, 1, 2]",conv3,0.9580000042915344
3,30,"[0, 1]",conv1,0.9359999895095825
4,30,"[0, 1]",conv2,0.9300000071525574
5,30,"[0, 1]",conv3,0.906000018119812
6,30,"[0, 2]",conv1,0.9380000233650208
7,30,"[0, 2]",conv2,0.9629999995231628
8,30,"[0, 2]",conv3,0.921999990940094
9,30,"[1, 2]",conv1,0.9229999780654907
10,30,"[1, 2]",conv2,0.9350000023841858
11,30,"[1, 2]",conv3,0.8809999823570251
12,30,[0],conv1,0.9300000071525574
13,30,[0],conv2,0.9390000104904175
14,30,[0],conv3,0.8880000114440918
15,30,[1],conv1,0.9520000219345093
16,30,[1],conv2,0.9649999737739563
17,30,[1],conv3,0.9330000281333923
18,30,[2],conv1,0.9340000152587891
19,30,[2],conv2,0.9330000281333923
20,30,[2],conv3,0.9129999876022339
21,31,"[0, 1, 2]",conv1,0.9520000219345093
22,31,"[0, 1, 2]",conv2,0.953000009059906
23,31,"[0, 1, 2]",conv3,0.9700000286102295
24,31,"[0, 1]",conv1,0.9300000071525574
25,31,"[0, 1]",conv2,0.9390000104904175
26,31,"[0, 1]",conv3,0.9120000004768372
27,31,"[0, 2]",conv1,0.9359999895095825
28,31,"[0, 2]",conv2,0.9369999766349792
29,31,"[0, 2]",conv3,0.9369999766349792
30,31,"[1, 2]",conv1,0.9129999876022339
31,31,"[1, 2]",conv2,0.9369999766349792
32,31,"[1, 2]",conv3,0.902999997138977
33,31,[0],conv1,0.9240000247955322
34,31,[0],conv2,0.9210000038146973
35,31,[0],conv3,0.9160000085830688
36,31,[1],conv1,0.9490000009536743
37,31,[1],conv2,0.9599999785423279
38,31,[1],conv3,0.9440000057220459
39,31,[2],conv1,0.9300000071525574
40,31,[2],conv2,0.9290000200271606
41,31,[2],conv3,0.902999997138977
42,32,"[0, 1, 2]",conv1,0.9409999847412109
43,32,"[0, 1, 2]",conv2,0.9589999914169312
44,32,"[0, 1, 2]",conv3,0.9620000123977661
45,32,"[0, 1]",conv1,0.9269999861717224
46,32,"[0, 1]",conv2,0.9430000185966492
47,32,"[0, 1]",conv3,0.9160000085830688
48,32,"[0, 2]",conv1,0.9490000009536743
49,32,"[0, 2]",conv2,0.9449999928474426
50,32,"[0, 2]",conv3,0.9330000281333923
51,32,"[1, 2]",conv1,0.9419999718666077
52,32,"[1, 2]",conv2,0.9449999928474426
53,32,"[1, 2]",conv3,0.8889999985694885
54,32,[0],conv1,0.9150000214576721
55,32,[0],conv2,0.9190000295639038
56,32,[0],conv3,0.8960000276565552
57,32,[1],conv1,0.953000009059906
58,32,[1],conv2,0.9559999704360962
59,32,[1],conv3,0.9399999976158142
60,32,[2],conv1,0.9449999928474426
61,32,[2],conv2,0.9490000009536743
62,32,[2],conv3,0.9279999732971191
63,33,"[0, 1, 2]",conv1,0.9589999914169312
64,33,"[0, 1, 2]",conv2,0.9629999995231628
65,33,"[0, 1, 2]",conv3,0.9580000042915344
66,33,"[0, 1]",conv1,0.9350000023841858
67,33,"[0, 1]",conv2,0.9369999766349792
68,33,"[0, 1]",conv3,0.8920000195503235
69,33,"[0, 2]",conv1,0.9430000185966492
70,33,"[0, 2]",conv2,0.9419999718666077
71,33,"[0, 2]",conv3,0.9139999747276306
72,33,"[1, 2]",conv1,0.9279999732971191
73,33,"[1, 2]",conv2,0.9340000152587891
74,33,"[1, 2]",conv3,0.8920000195503235
75,33,[0],conv1,0.9279999732971191
76,33,[0],conv2,0.9309999942779541
77,33,[0],conv3,0.9300000071525574
78,33,[1],conv1,0.9599999785423279
79,33,[1],conv2,0.9559999704360962
80,33,[1],conv3,0.9449999928474426
81,33,[2],conv1,0.9399999976158142
82,33,[2],conv2,0.9459999799728394
83,33,[2],conv3,0.921999990940094
84,34,"[0, 1, 2]",conv1,0.9639999866485596
85,34,"[0, 1, 2]",conv2,0.9539999961853027
86,34,"[0, 1, 2]",conv3,0.9570000171661377
87,34,"[0, 1]",conv1,0.9350000023841858
88,34,"[0, 1]",conv2,0.9509999752044678
89,34,"[0, 1]",conv3,0.9039999842643738
90,34,"[0, 2]",conv1,0.9559999704360962
91,34,"[0, 2]",conv2,0.9440000057220459
92,34,"[0, 2]",conv3,0.9350000023841858
93,34,"[1, 2]",conv1,0.9340000152587891
94,34,"[1, 2]",conv2,0.9449999928474426
95,34,"[1, 2]",conv3,0.9169999957084656
96,34,[0],conv1,0.925000011920929
97,34,[0],conv2,0.9369999766349792
98,34,[0],conv3,0.9330000281333923
99,34,[1],conv1,0.9739999771118164
100,34,[1],conv2,0.9670000076293945
101,34,[1],conv3,0.949999988079071
102,34,[2],conv1,0.9350000023841858
103,34,[2],conv2,0.9399999976158142
104,34,[2],conv3,0.9120000004768372
105,35,"[0, 1, 2]",conv1,0.9279999732971191
106,35,"[0, 1, 2]",conv2,0.9549999833106995
107,35,"[0, 1, 2]",conv3,0.953000009059906
108,35,"[0, 1]",conv1,0.9399999976158142
109,35,"[0, 1]",conv2,0.9509999752044678
110,35,"[0, 1]",conv3,0.9359999895095825
111,35,"[0, 2]",conv1,0.9409999847412109
112,35,"[0, 2]",conv2,0.9380000233650208
113,35,"[0, 2]",conv3,0.925000011920929
114,35,"[1, 2]",conv1,0.9369999766349792
115,35,"[1, 2]",conv2,0.9369999766349792
116,35,"[1, 2]",conv3,0.8980000019073486
117,35,[0],conv1,0.9150000214576721
118,35,[0],conv2,0.9309999942779541
119,35,[0],conv3,0.8999999761581421
120,35,[1],conv1,0.9559999704360962
121,35,[1],conv2,0.9509999752044678
122,35,[1],conv3,0.9430000185966492
123,35,[2],conv1,0.949999988079071
124,35,[2],conv2,0.9399999976158142
125,35,[2],conv3,0.9269999861717224
126,36,"[0, 1, 2]",conv1,0.9440000057220459
127,36,"[0, 1, 2]",conv2,0.9599999785423279
128,36,"[0, 1, 2]",conv3,0.9549999833106995
129,36,"[0, 1]",conv1,0.9390000104904175
130,36,"[0, 1]",conv2,0.9409999847412109
131,36,"[0, 1]",conv3,0.9010000228881836
132,36,"[0, 2]",conv1,0.9350000023841858
133,36,"[0, 2]",conv2,0.9359999895095825
134,36,"[0, 2]",conv3,0.9210000038146973
135,36,"[1, 2]",conv1,0.9369999766349792
136,36,"[1, 2]",conv2,0.9380000233650208
137,36,"[1, 2]",conv3,0.902999997138977
138,36,[0],conv1,0.9240000247955322
139,36,[0],conv2,0.9300000071525574
140,36,[0],conv3,0.8939999938011169
141,36,[1],conv1,0.968999981880188
142,36,[1],conv2,0.9399999976158142
143,36,[1],conv3,0.9470000267028809
144,36,[2],conv1,0.9470000267028809
145,36,[2],conv2,0.9390000104904175
146,36,[2],conv3,0.9049999713897705
147,37,"[0, 1, 2]",conv1,0.9549999833106995
148,37,"[0, 1, 2]",conv2,0.9610000252723694
149,37,"[0, 1, 2]",conv3,0.9679999947547913
150,37,"[0, 1]",conv1,0.9300000071525574
151,37,"[0, 1]",conv2,0.9309999942779541
152,37,"[0, 1]",conv3,0.9200000166893005
153,37,"[0, 2]",conv1,0.949999988079071
154,37,"[0, 2]",conv2,0.9449999928474426
155,37,"[0, 2]",conv3,0.9390000104904175
156,37,"[1, 2]",conv1,0.9300000071525574
157,37,"[1, 2]",conv2,0.9359999895095825
158,37,"[1, 2]",conv3,0.906000018119812
159,37,[0],conv1,0.9300000071525574
160,37,[0],conv2,0.949999988079071
161,37,[0],conv3,0.9300000071525574
162,37,[1],conv1,0.968999981880188
163,37,[1],conv2,0.968999981880188
164,37,[1],conv3,0.9520000219345093
165,37,[2],conv1,0.9399999976158142
166,37,[2],conv2,0.9340000152587891
